sa1   NO   U831/Z
sa0   --   U831/A
sa1   --   U829/A3
sa1   NO   U829/Z
sa0   --   U829/A3
sa0   --   U829/A1
sa0   --   U829/A2
sa0   --   U831/Z
sa1   --   U831/A
sa0   NO   U835/A1
sa1   NO   U849/A1
sa0   NO   U848/A2
sa0   NO   U849/Z
sa0   --   U849/A2
sa0   --   U849/A1
sa0   --   U848/A1
sa1   NO   U848/A3
sa1   NO   U835/B2
sa0   NO   U835/B1
sa0   --   U835/B2
sa0   NO   U835/A2
sa1   --   U835/A1
sa1   NO   U897/A2
sa1   NO   U838/A1
sa1   NO   U839/A2
sa1   NO   U839/A3
sa1   NO   U855/Z
sa0   --   U855/A1
sa0   --   U855/A2
sa0   NO   U856/Z
sa1   --   U856/A
sa0   NO   U863/Z
sa1   NO   U863/A2
sa1   NO   U863/A1
sa1   NO   U863/A3
sa1   NO   U863/Z
sa0   --   U863/A1
sa0   --   U863/A3
sa0   --   U863/A2
sa0   NO   U885/Z
sa1   --   U885/A1
sa1   --   U885/A2
sa0   --   U886/A1
sa1   NO   U886/A0
sa0   NO   U886/A0
sa1   NO   U886/SL
sa0   NO   U886/SL
sa1   NO   U886/Z
sa0   NO   U885/A2
sa1   NO   U888/A1
sa1   NO   U888/Z
sa0   --   U888/A1
sa0   --   U888/A2
sa1   NO   U889/A2
sa1   NO   U889/Z
sa0   --   U889/A1
sa0   --   U889/A2
sa1   NO   U891/A2
sa1   NO   U891/Z
sa0   --   U891/A1
sa0   --   U891/A2
sa0   NO   U892/Z
sa1   --   U892/A
sa0   NO   U893/Z
sa1   --   U893/A1
sa1   --   U893/A2
sa0   --   U894/A1
sa0   NO   U894/A0
sa0   NO   U894/SL
sa1   NO   U894/Z
sa0   NO   U893/A2
sa1   NO   U946/A2
sa1   NO   U950/Z
sa0   --   U950/A1
sa0   --   U950/A2
